Price,District,YearOfConstruction,Area,Type,Link
685000000,Медеуский,1994,540,"
                    Свободное назначение, офисы, общепит, салоны красоты, медцентры и аптеки, образование ",/a/show/698742023
4400000000,Бостандыкский,2012,4000,"
                    Офисы, магазины и бутики, общепит, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения ",/a/show/695492170
47000000,Ауэзовский,1987,92,"
                    Офисы, магазины и бутики, салоны красоты, медцентры и аптеки, образование ",/a/show/699207124
426000000,Алмалинский,1960,175,"
                    Свободное назначение, магазины и бутики, салоны красоты ",/a/show/692185513
800000000,Бостандыкский,2023,1500,"
                    Свободное назначение ",/a/show/689372649
468000000,Медеуский,2009,557.3,"
                    Офисы, магазины и бутики, общепит, салоны красоты ",/a/show/688198183
82000000,Ауэзовский,2014,230,"
                    Свободное назначение, офисы, магазины и бутики, склады, салоны красоты, медцентры и аптеки ",/a/show/696036448
198000000,Алмалинский,в жилом доме или ЖК,232.1,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты ",/a/show/689483416
59000000,Жетысуский,1993,537.7,"
                    Офисы, магазины и бутики, общепит, салоны красоты ",/a/show/689005616
168000000,Бостандыкский,2012,332,"
                    Офисы, магазины и бутики, салоны красоты, медцентры и аптеки ",/a/show/694087523
9500000,Алмалинский,2012,63.9,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты ",/a/show/687671459
50000000,Алмалинский,1936,77,"
                    Свободное назначение, офисы, магазины и бутики, склады, салоны красоты, медцентры и аптеки, образование, развлечения ",/a/show/699120593
17500000,Жетысуский,1,9,"
                    Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, развлечения ",/a/show/692363123
87397000,Бостандыкский,2012,452.3,"
                    Свободное назначение ",/a/show/672375071
259999000,Алматы,1,161,"
                    Свободное назначение ",/a/show/699014653
94999000,Алматы,2022,70,"
                    Свободное назначение ",/a/show/698641870
50500000,Алмалинский,2020,70,"
                    Магазины и бутики, салоны красоты, медцентры и аптеки, образование ",/a/show/694521145
980000000,Ауэзовский,2024,880,"
                    Свободное назначение ",/a/show/696679150
20000000,Медеуский,2018,35,"
                    Свободное назначение ",/a/show/699203188
19000000,Алмалинский,2022,28.6,"
                    Свободное назначение, офисы, магазины и бутики, склады, салоны красоты, медцентры и аптеки, образование ",/a/show/697647005
39500000,Алмалинский,2022,60,"
                    Свободное назначение, офисы, магазины и бутики, склады, салоны красоты, образование, развлечения ",/a/show/693191550
26500000,Жетысуский,нет,39,"
                    Магазины и бутики ",/a/show/676392504
10500000,Бостандыкский,2016,23,"
                    Свободное назначение, склады, общепит, салоны красоты, бани, гостиницы и зоны отдыха, образование, развлечения ",/a/show/698563657
175000000,Наурызбайский,2013,240,"
                    Свободное назначение, офисы, образование ",/a/show/691693396
879750000,Алмалинский,2012,1955,"
                    Свободное назначение, офисы, склады, салоны красоты, образование, развлечения ",/a/show/698840626
66000000,Бостандыкский,2014,154,"
                    Офисы ",/a/show/698199777
51000000,Турксибский,2021,93,"
                    Свободное назначение ",/a/show/698463847
115000000,Ауэзовский,2,432,"
                    Бани, гостиницы и зоны отдыха ",/a/show/694699583
15500000,Наурызбайский,2022,37,"
                    Свободное назначение, офисы, магазины и бутики, салоны красоты, образование ",/a/show/699141477
1200000,Наурызбайский,2022,6.7,"
                    Свободное назначение, склады ",/a/show/699075854
18950000,Алатауский,2023,65.3,"
                    Свободное назначение, офисы, магазины и бутики, склады, салоны красоты ",/a/show/694997409
1600000,Бостандыкский,нет,8,"
                    Склады ",/a/show/689630937
979000000,Бостандыкский,2024,445,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения ",/a/show/699055340
950000000,Алмалинский,1960,1344,"
                    Свободное назначение ",/a/show/674589278
2046000000,Бостандыкский,2024,930,"
                    Свободное назначение, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование ",/a/show/699055243
390000000,Алматы,2009,935,"
                    Свободное назначение, офисы, магазины и бутики ",/a/show/698595742
65000000,Бостандыкский,1,48,"
                    Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, медцентры и аптеки, образование, развлечения ",/a/show/698340445
635000000,Бостандыкский,отдельностоящее здание,1500,"
                    Общепит ",/a/show/684736834
5000000,Медеуский,2018,39,"
                    Склады ",/a/show/698783860
650000000,Наурызбайский,2014,2030.9,"
                    Свободное назначение, офисы, магазины и бутики, бани, гостиницы и зоны отдыха, медцентры и аптеки ",/a/show/699199265
700000000,Алмалинский,2023,850,"
                    Свободное назначение, офисы, магазины и бутики, общепит, медцентры и аптеки, образование, развлечения ",/a/show/690920439
66000000,Алмалинский,2002,57,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты ",/a/show/699006395
151000000,Алмалинский,2023,200,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения ",/a/show/698887942
24000000,Алатауский,2023,30,"
                    Свободное назначение, магазины и бутики, склады, салоны красоты, медцентры и аптеки, образование ",/a/show/698457582
150000000,Медеуский,2020,165,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование ",/a/show/696502344
22000000,Наурызбайский,2020,160,"
                    Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения ",/a/show/697099150
380000000,Ауэзовский,в жилом доме или ЖК,531,"
                    Свободное назначение, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения ",/a/show/697442390
5200000000,Медеуский,в бизнес-центре,3000,"
                    Офисы ",/a/show/694441027
1000000000,Алмалинский,1994,1512,"
                    Свободное назначение, офисы, общепит, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения ",/a/show/696813807
145000000,Медеуский,в жилом доме или ЖК,47.7,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование ",/a/show/698156409
78500000,Ауэзовский,2024,100.73,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения ",/a/show/697108564
145000000,Бостандыкский,2008,160,"
                    Свободное назначение, офисы, магазины и бутики, склады, азс, автосервисы и автомойки, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения ",/a/show/697233507
22500000,Медеуский,2020,63,"
                    Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, медцентры и аптеки, образование, развлечения ",/a/show/699022902
139000000,Медеуский,1938,85,"
                    Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, сельское хозяйство, медцентры и аптеки, образование, развлечения ",/a/show/698500218
120000000,Алмалинский,1985,85,"
                    Медцентры и аптеки ",/a/show/695258519
59900000,Бостандыкский,2017,65,"
                    Офисы ",/a/show/686246457
340000000,Медеуский,2002,375,"
                    Офисы, общепит, медцентры и аптеки ",/a/show/697779850
3500000000,Алматы,2007,4112,"
                    Свободное назначение, офисы, магазины и бутики, склады, азс, автосервисы и автомойки, общепит, салоны красоты, сельское хозяйство, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения ",/a/show/697870040
14000000,Ауэзовский,2021,35,"
                    Склады ",/a/show/699001106
5000000000,Медеуский,2019,5693,"
                    Свободное назначение, офисы, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения ",/a/show/697761482
60000000,Бостандыкский,2023,45.8,"
                    Свободное назначение, офисы, магазины и бутики, салоны красоты ",/a/show/691803479
20000000,Жетысуский,2021,47,"
                    Офисы, магазины и бутики, салоны красоты, медцентры и аптеки, образование ",/a/show/699022666
330000000,Алмалинский,в бизнес-центре,624,"
                    Офисы, медцентры и аптеки, образование ",/a/show/696378941
83000000,Ауэзовский,2017,416,"
                    Бани, гостиницы и зоны отдыха ",/a/show/696612211
95000000,Медеуский,1973,56,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения ",/a/show/698449040
40000000,Медеуский,2019,65,"
                    Свободное назначение, магазины и бутики ",/a/show/698837339
42000000,Алмалинский,2023,42,"
                    Офисы ",/a/show/698578953
50000000,Турксибский,2010,100,"
                    Свободное назначение, офисы, магазины и бутики, склады, азс, автосервисы и автомойки, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения ",/a/show/699002961
228000000,Ауэзовский,2009,420,"
                    Офисы, склады, азс, автосервисы и автомойки, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения ",/a/show/691956656
255000000,Бостандыкский,1980,163,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения ",/a/show/698236919
1100000000,Бостандыкский,2007,1585.1,"
                    Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения ",/a/show/697381026
51000000,Бостандыкский,2012,100,"
                    Свободное назначение ",/a/show/697822392
30000000,Медеуский,1975,42.6,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения ",/a/show/694526056
2617490000,Алмалинский,2022,3079.4,"
                    Офисы ",/a/show/696260804
130000000,Бостандыкский,в жилом доме или ЖК,890,"
                    Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, сельское хозяйство, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование ",/a/show/694493091
365750000,Медеуский,отдельностоящее здание,750,"
                    Свободное назначение, офисы, медцентры и аптеки, образование ",/a/show/696050659
809200000,Бостандыкский,отдельностоящее здание,1650,"
                    Свободное назначение, офисы, медцентры и аптеки, образование, развлечения ",/a/show/695298350
1650000,Бостандыкский,2021,6.6,"
                    Свободное назначение, склады ",/a/show/697929954
3000000000,Медеуский,отдельностоящее здание,2400,"
                    Общепит, бани, гостиницы и зоны отдыха ",/a/show/699195396
19000000,Бостандыкский,2014,17.9,"
                    Свободное назначение, офисы, салоны красоты, развлечения ",/a/show/698555293
27500000,Бостандыкский,2013,36.9,"
                    Свободное назначение ",/a/show/693096627
125000000,Бостандыкский,2009,121.4,"
                    Медцентры и аптеки ",/a/show/698495317
51000000,Ауэзовский,1967,43.3,"
                    Магазины и бутики ",/a/show/696297455
300000000,Жетысуский,2024,2000,"
                    Склады ",/a/show/698157282
575000000,Бостандыкский,2024,316,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения ",/a/show/699160743
45000000,Жетысуский,1986,200,"
                    Магазины и бутики ",/a/show/699118333
171200000,Жетысуский,2019,214,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, сельское хозяйство, медцентры и аптеки, образование, развлечения ",/a/show/699113129
35000000,Ауэзовский,2017,30,"
                    Магазины и бутики ",/a/show/692486047
575000000,Турксибский,отдельностоящее здание,525.7,"
                    Свободное назначение, салоны красоты, медцентры и аптеки, образование ",/a/show/697279153
445000000,Жетысуский,2007,1150,"
                    Офисы, склады ",/a/show/698904554
75000000,Бостандыкский,2024,85,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, образование ",/a/show/698796752
1100000000,Медеуский,2024,2040,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование ",/a/show/698216268
8500000,Медеуский,2006,35,"
                    Свободное назначение ",/a/show/698770709
100800000,Медеуский,2019,126,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения ",/a/show/699112258
118400000,Жетысуский,2019,148,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения ",/a/show/699112961
75000000,Алмалинский,1949,70,"
                    Свободное назначение ",/a/show/698105633
245000000,Турксибский,2019,1100,"
                    Магазины и бутики ",/a/show/677888356
510000000,Алмалинский,1969,327,"
                    Свободное назначение ",/a/show/688579776
175000000,Алмалинский,1969,110,"
                    Свободное назначение ",/a/show/688442482
242000000,Бостандыкский,2021,270,"
                    Свободное назначение ",/a/show/680670033
68000000,Ауэзовский,2018,67,"
                    Офисы, магазины и бутики, салоны красоты, образование ",/a/show/693267403
16500000,Алмалинский,2019,25.7,"
                    Свободное назначение, офисы, магазины и бутики, склады, общепит ",/a/show/698956044
171710000,Бостандыкский,2024,156.1,"
                    Свободное назначение ",/a/show/698597661
30000000,Алатауский,2022,187,"
                    Свободное назначение ",/a/show/699139004
200000000,Алатауский,2006,265,"
                    Азс, автосервисы и автомойки, общепит ",/a/show/699034845
93000000,Ауэзовский,2015,107,"
                    Образование ",/a/show/698758028
175000000,Ауэзовский,2020,150,"
                    Офисы, магазины и бутики, салоны красоты ",/a/show/690404635
2100000,Медеуский,1991,17.4,"
                    Свободное назначение ",/a/show/686099980
349500000,Медеуский,2023,622,"
                    Офисы, склады ",/a/show/698904388
175000000,Жетысуский,да,680,"
                    Общепит ",/a/show/667771899
181260000,Ауэзовский,2019,477,"
                    Свободное назначение, офисы ",/a/show/696435802
900000,Бостандыкский,2023,5.5,"
                    Свободное назначение, склады ",/a/show/698903862
332000000,Алатауский,2023,332,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения ",/a/show/698953949
3000000,Алматы,2017,14.5,"
                    Магазины и бутики ",/a/show/664556296
157000000,Турксибский,2014,520,"
                    Свободное назначение ",/a/show/690596982
59000000,Наурызбайский,2024,403.5,"
                    Свободное назначение ",/a/show/691121956
380000000,Алатауский,1,670,"
                    Свободное назначение, офисы, салоны красоты ",/a/show/679634324
1200000,Алматы,2020,6,"
                    Склады ",/a/show/699012050
53000000,Бостандыкский,1,56,"
                    Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, медцентры и аптеки, образование, развлечения ",/a/show/698027083
398000000,Алмалинский,2000,650,"
                    Свободное назначение, офисы, магазины и бутики, склады, азс, автосервисы и автомойки, общепит, салоны красоты, сельское хозяйство, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения ",/a/show/698689566
80000000,Алмалинский,1963,43.9,"
                    Офисы, магазины и бутики, салоны красоты, медцентры и аптеки ",/a/show/693457473
53000000,Медеуский,1,56,"
                    Свободное назначение, офисы, магазины и бутики, склады, салоны красоты, медцентры и аптеки, образование, развлечения ",/a/show/698026938
53000000,Алатауский,2020,465,"
                    Свободное назначение ",/a/show/667711017
179000000,Алмалинский,2015,400,"
                    Офисы, магазины и бутики, склады, салоны красоты, образование, развлечения ",/a/show/695954595
49000000,Ауэзовский,1,49,"
                    Свободное назначение ",/a/show/698210729
53000000,Алмалинский,1,56,"
                    Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения ",/a/show/697871214
765000000,Медеуский,2021,249.8,"
                    Свободное назначение, офисы, магазины и бутики, салоны красоты, медцентры и аптеки, образование, развлечения ",/a/show/699111451
65000000,Алмалинский,2010,130,"
                    Офисы, магазины и бутики ",/a/show/689604715
210000000,Медеуский,2014,350,"
                    Свободное назначение, офисы, общепит, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения ",/a/show/698702717
350000000,Алматы,2019,387.7,"
                    Свободное назначение, офисы, магазины и бутики, склады, образование, развлечения ",/a/show/682847334
390000000,Алмалинский,отдельностоящее здание,616,"
                    Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, медцентры и аптеки, образование, развлечения ",/a/show/692555660
2500000000,Алатауский,нет,34000,"
                    Склады, азс, автосервисы и автомойки ",/a/show/697488107
75000000,Бостандыкский,1983,66,"
                    Магазины и бутики ",/a/show/690067086
150000000,Алатауский,2024,300,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения ",/a/show/697752258
350000000,Алматы,2019,387.7,"
                    Свободное назначение, офисы, магазины и бутики, склады, общепит, образование, развлечения ",/a/show/682847460
173000000,Наурызбайский,2022,450,"
                    Медцентры и аптеки ",/a/show/698449379
61000000,Наурызбайский,2018,90,"
                    Магазины и бутики ",/a/show/698378324
285000000,Ауэзовский,2008,420,"
                    Офисы, магазины и бутики, склады, общепит, салоны красоты, медцентры и аптеки, образование, развлечения ",/a/show/699173053
