Price,NumberOfRooms,District,YearOfConstruction,Floor,Area,Link
85000000,"
                    3",Наурызбайский,2009,6,125.9,/a/show/692720053
67500000,"
                    3",Алмалинский,2012,10,131,/a/show/692362669
55000000,"
                    2",Наурызбайский,2023,2,56,/a/show/684881560
от15168000,"
                    1",Алатауский,2023,47.4,совмещенный,/a/show/689525805
от34675000,"
                    1",Бостандыкский,2025,47.5,совмещенный,/a/show/697710421
47000000,"
                    4",Ауэзовский,1984,8,74,/a/show/699213804
22500000,"
                    1",Турксибский,"45 м², Площадь кухни — 10 м²",не,балкон,/a/show/698568028
49000000,"
                    2",Ауэзовский,2022,11,80,/a/show/698500731
24500000,"
                    2",Жетысуский,1987,5,48,/a/show/697981878
30500000,"
                    2",Алмалинский,1972,1,46,/a/show/697775571
205000000,"
                    3",Медеуский,2024,2,102,/a/show/695192515
29000000,"
                    1",Бостандыкский,1985,1,40,/a/show/692256884
33500000,"
                    2",Алатауский,2015,10,69,/a/show/686645971
85000000,"
                    3",Бостандыкский,2019,8,94,/a/show/698376303
от34675200,"
                    2",Алмалинский,2024,54.18,совмещенный,/a/show/694087558
от43131900,"
                    3",Алмалинский,2024,75.67,2,/a/show/677075015
от53557500,"
                    2",Бостандыкский,2024,55.6,совмещенный,/a/show/671256621
50000000,"
                    3",Наурызбайский,2022,3,79.9,/a/show/698548101
33500000,"
                    2",Наурызбайский,2022,3,52,/a/show/696554501
42000000,"
                    2",Алатауский,2024,10,62,/a/show/694991878
21000000,"
                    2",Алатауский,1985,5,44.5,/a/show/694966529
38400000,"
                    2",Алатауский,2010,9,62,/a/show/691508021
31000000,"
                    2",Алатауский,2017,1,51,/a/show/689262271
40900000,"
                    2",Ауэзовский,2014,12,75,/a/show/689170582
84000000,"
                    3",Бостандыкский,2023,6,116.45,/a/show/684754442
от54075000,"
                    2",Бостандыкский,2024,57.4,совмещенный,/a/show/674714354
55000000,"
                    3",Бостандыкский,1989,5,70,/a/show/698461917
15500000,"
                    1",Жетысуский,2024,4,37.7,/a/show/698133698
29000000,"
                    1",Алмалинский,1989,2,40,/a/show/695020384
25900000,"
                    1",Турксибский,2024,5,54,/a/show/694641114
45000000,"
                    3",Наурызбайский,2022,11,85,/a/show/691926767
240000000,"
                    8",Медеуский,2008,12,330,/a/show/689988403
от29232000,"
                    1",Наурызбайский,2023,52.2,совмещенный,/a/show/682695484
45500000,"
                    2",Ауэзовский,2014,8,83,/a/show/698149582
120000000,"
                    4",Бостандыкский,2009,9,150,/a/show/695746424
35500000,"
                    2",Алатауский,2022,1,55.3,/a/show/694166776
21000000,"
                    1",Жетысуский,1989,5,42,/a/show/681608366
33000000,"
                    3",Жетысуский,2008,6,109,/a/show/660036090
от53120000,"
                    3",Наурызбайский,2022,83,раздельный,/a/show/663088968
29500000,"
                    2",Турксибский,2022,10,50.4,/a/show/698410830
26500000,"
                    2",Турксибский,2024,4,57.14,/a/show/695006719
26900000,"
                    1",Ауэзовский,2024,8,47,/a/show/691376175
24000000,"
                    1",Турксибский,2023,2,45,/a/show/691108391
от53130000,"
                    1",Медеуский,2025,50.6,совмещенный,/a/show/689022895
57000000,"
                    2",Медеуский,2023,3,62,/a/show/698497492
93999999,"
                    4",Бостандыкский,2001,4,152,/a/show/694484515
19000000,"
                    1",Алматы,"48 м², Площадь кухни — 9 м²",совмещенный,лоджия,/a/show/698467016
62000000,"
                    2",Ауэзовский,2015,9,78,/a/show/686832804
38000000,"
                    1",Медеуский,1974,4,36,/a/show/685883514
45500000,"
                    2",Ауэзовский,2011,11,69,/a/show/698636813
28000000,"
                    1",Ауэзовский,2024,5,41.5,/a/show/697506177
29500000,"
                    2",Алатауский,2017,1,62,/a/show/680170357
60000000,"
                    2",Медеуский,1975,3,60.5,/a/show/675698316
65000000,"
                    2",Ауэзовский,2019,9,78.5,/a/show/698565737
от23134800,"
                    2",Турксибский,2025,44.49,совмещенный,/a/show/694706340
67000000,"
                    2",Медеуский,1975,2,63,/a/show/696194127
27440000,"
                    1",Ауэзовский,2024,1,46,/a/show/696072772
51000000,"
                    3",Бостандыкский,1972,4,65,/a/show/695406036
90000000,"
                    4",Алмалинский,1995,1,95,/a/show/693545853
33000000,"
                    2",Алатауский,2021,1,57.1,/a/show/688566264
38000000,"
                    3",Ауэзовский,1968,4,58,/a/show/676005476
от151154700,"
                    4",Алматы,2024,122.89,2,/a/show/688394400
от43417300,"
                    2",Бостандыкский,2025,52.31,совмещенный,/a/show/698973068
31900000,"
                    2",Алатауский,2017,1,51.1,/a/show/697231134
28000000,"
                    2",Ауэзовский,1966,4,44,/a/show/696522435
62000000,"
                    3",Бостандыкский,1985,4,89.1,/a/show/695346032
35500000,"
                    2",Алмалинский,2023,7,48.1,/a/show/694380625
23500000,"
                    1",Турксибский,2018,4,39.6,/a/show/684069128
70000000,"
                    2",Бостандыкский,2007,5,80,/a/show/697972619
30000000,"
                    2",Жетысуский,1987,1,55,/a/show/696190229
46800000,"
                    2",Ауэзовский,2021,3,60,/a/show/690259950
26000000,"
                    2",Медеуский,1968,1,50,/a/show/687664938
46000000,"
                    2",Бостандыкский,2023,17,49,/a/show/698220379
35500000,"
                    2",Жетысуский,2023,3,64.7,/a/show/697097168
38000000,"
                    3",Алмалинский,1970,1,64,/a/show/696875193
23000000,"
                    1",Алатауский,2023,6,48.3,/a/show/696472200
от135525000,"
                    5",Ауэзовский,2024,180.7,совмещенный,/a/show/677332097
от239094000,"
                    3",Медеуский,2026,132.83,2,/a/show/697299944
от70759980,"
                    4",Алатауский,2026,126.81,2,/a/show/682385941
от52416000,"
                    3",Наурызбайский,2023,93.6,совмещенный,/a/show/682828221
от51335000,"
                    3",Алатауский,2025,102.67,2,/a/show/695180126
от61664000,"
                    2",Бостандыкский,2023,75.2,совмещенный,/a/show/664168666
40000000,"
                    3",Ауэзовский,1993,1,63.2,/a/show/699109895
36500000,"
                    2",Жетысуский,2024,8,54,/a/show/699030074
25500000,"
                    1",Ауэзовский,2024,11,48.3,/a/show/698918663
25000000,"
                    2",Жетысуский,1980,2,42,/a/show/692934068
85000000,"
                    3",Наурызбайский,2023,3,93,/a/show/691238321
30500000,"
                    1",Наурызбайский,2022,11,40,/a/show/696555954
46900000,"
                    2",Бостандыкский,2023,4,47,/a/show/693717163
30000000,"
                    1",Алмалинский,1975,2,34.9,/a/show/699155792
47000000,"
                    3",Жетысуский,2005,4,80,/a/show/696425964
51000000,"
                    2",Ауэзовский,2017,13,61,/a/show/694832151
50000000,"
                    2",Алмалинский,2012,5,65,/a/show/678145652
36000000,"
                    3",Ауэзовский,2021,1,46,/a/show/698588415
46000000,"
                    2",Медеуский,1971,7,45,/a/show/689347701
45000000,"
                    2",Бостандыкский,2023,6,62.7,/a/show/698816395
31000000,"
                    2",Ауэзовский,1989,4,48.3,/a/show/697469350
38000000,"
                    2",Турксибский,2022,3,70.1,/a/show/697426685
56000000,"
                    2",Бостандыкский,2022,13,50,/a/show/698981422
32800000,"
                    2",Алатауский,2018,6,69.4,/a/show/691731849
62000000,"
                    2",Бостандыкский,2007,2,75,/a/show/682837008
22000000,"
                    1",Жетысуский,2008,5,39,/a/show/686352236
50000000,"
                    3",Алмалинский,1968,1,64,/a/show/698475938
37500000,"
                    3",Алатауский,2019,14,73,/a/show/698441428
97000000,"
                    3",Бостандыкский,2008,3,120.9,/a/show/669511579
96000000,"
                    4",Бостандыкский,2018,5,105.5,/a/show/689277816
73000000,"
                    3",Бостандыкский,2015,4,115,/a/show/696314518
40000000,"
                    3",Наурызбайский,2022,9,65,/a/show/697800048
50000000,"
                    2",Ауэзовский,2022,4,60,/a/show/697549968
39000000,"
                    2",Бостандыкский,2023,16,42,/a/show/697314792
39500000,"
                    3",Ауэзовский,1994,8,71,/a/show/698936788
33500000,"
                    2",Алатауский,2022,7,68.6,/a/show/694061391
28000000,"
                    3",Турксибский,"67 м², Площадь кухни — 7 м²",не,совмещенный,/a/show/685156737
37600000,"
                    3",Алатауский,2020,12,73.4,/a/show/683517161
28500000,"
                    2",Алатауский,2020,7,55,/a/show/696679095
27500000,"
                    1",Бостандыкский,1961,2,33,/a/show/690111408
31000000,"
                    2",Наурызбайский,1990,4,52,/a/show/685819397
от34552000,"
                    2",Наурызбайский,2023,61.7,совмещенный,/a/show/682695481
от92182500,"
                    4",Алмалинский,2022,122.91,2.7,/a/show/687660097
от19551000,"
                    1",Жетысуский,2024,39.9,совмещенный,/a/show/679916890
27700000,"
                    1",Жетысуский,2022,4,39.9,/a/show/698075176
40000000,"
                    2",Ауэзовский,2022,9,71,/a/show/697113327
53500000,"
                    2",Наурызбайский,2013,9,87.5,/a/show/697029514
37500000,"
                    2",Алатауский,2015,4,70,/a/show/696265460
26000000,"
                    2",Турксибский,1991,3,44,/a/show/695648923
25000000,"
                    1",Ауэзовский,2024,1,41.94,/a/show/694449060
29000000,"
                    1",Бостандыкский,1975,5,42,/a/show/693740451
от109921680,"
                    4",Бостандыкский,2025,138.79,2,/a/show/694723361
от92537280,"
                    3",Алматы,2024,80.96,2,/a/show/688394392
от42799000,"
                    2",Жетысуский,2025,67.4,совмещенный,/a/show/684283313
18500000,"
                    1",Алатауский,2023,1,29,/a/show/698504950
37500000,"
                    2",Алатауский,2024,5,63.18,/a/show/697118660
36000000,"
                    2",Ауэзовский,2024,10,60,/a/show/696925758
от47744000,"
                    2",Бостандыкский,2025,59.68,совмещенный,/a/show/698973070
от105545000,"
                    4",Бостандыкский,2024,111.1,2,/a/show/667443962
26500000,"
                    1",Ауэзовский,2022,1,33,/a/show/694451539
59000000,"
                    3",Бостандыкский,1986,5,90,/a/show/684371140
125000000,"
                    4",Наурызбайский,2023,2,125,/a/show/682629540
от11550000,"
                    1",Алатауский,2027,27.5,совмещенный,/a/show/689525808
от17000000,"
                    1",Алматинская,2023,39.5,совмещенный,/a/show/682004961
от38900000,"
                    2",Жетысуский,2024,70.19,2,/a/show/679916899
18000000,"
                    1",Жетысуский,1984,5,36,/a/show/699038739
33000000,"
                    2",Турксибский,1988,3,57,/a/show/698835118
45000000,"
                    3",Алмалинский,1989,9,79.9,/a/show/698464522
22900000,"
                    1",Алатауский,2024,6,38.9,/a/show/698606128
106000000,"
                    3",Алмалинский,2015,8,116,/a/show/695288162
24200000,"
                    2",Алатауский,2024,12,60,/a/show/694123833
52000000,"
                    4",Ауэзовский,1971,3,73,/a/show/693303270
24900000,"
                    1",Турксибский,2016,3,36,/a/show/693105825
26800000,"
                    2",Ауэзовский,1962,2,45,/a/show/692811751
40000000,"
                    2",Турксибский,2024,8,75,/a/show/691659103
55500000,"
                    2",Бостандыкский,2018,7,62,/a/show/681699367
46000000,"
                    2",Бостандыкский,2023,9,51.9,/a/show/689564147
33600000,"
                    3",Ауэзовский,1963,4,60,/a/show/682276095
от77033600,"
                    3",Ауэзовский,2024,101.36,2,/a/show/677332107
от182272000,"
                    3",Медеуский,2026,113.92,2,/a/show/697299941
14500000,"
                    1",Наурызбайский,2023,3,32,/a/show/699023012
15500000,"
                    1",Медеуский,1985,5,30,/a/show/699202922
162000000,"
                    3",Бостандыкский,2023,2,108,/a/show/697499439
32000000,"
                    3",Алатауский,2023,10,70,/a/show/695058616
28500000,"
                    1",Алмалинский,1980,9,41,/a/show/689515015
28000000,"
                    1",Алатауский,2021,8,45,/a/show/687683366
56000000,"
                    3",Алмалинский,1959,3,72,/a/show/686464589
от21711600,"
                    1",Алатауский,2025,39.12,совмещенный,/a/show/693826792
от26040000,"
                    1",Алмалинский,2025,37.2,совмещенный,/a/show/689365676
от98560000,"
                    4",Бостандыкский,2024,112,2,/a/show/670678501
23500000,"
                    1",Алатауский,2024,10,45.88,/a/show/697668300
34000000,"
                    2",Жетысуский,1994,5,56.4,/a/show/697033724
39500000,"
                    3",Наурызбайский,2022,1,80,/a/show/696459697
31500000,"
                    2",Жетысуский,2016,5,55.7,/a/show/692467465
38000000,"
                    3",Алмалинский,2011,18,53.6,/a/show/692312538
90000000,"
                    4",Бостандыкский,2019,16,110,/a/show/692012658
85000000,"
                    3",Медеуский,2017,2,87,/a/show/675820054
от54875000,"
                    3",Алмалинский,2025,87.8,2,/a/show/689365695
от69300000,"
                    1",Медеуский,2023,46.44,совмещенный,/a/show/671314138
от16758000,"
                    1",Алатауский,2023,39.9,совмещенный,/a/show/697568927
от25000000,"
                    3",Алматинская,2025,70,2.8,/a/show/687270999
35000000,"
                    3",Бостандыкский,1961,2,60,/a/show/697165095
15000000,"
                    1",Жетысуский,1976,2,30.7,/a/show/698323887
48000000,"
                    2",Бостандыкский,2024,12,72.44,/a/show/698132460
42000000,"
                    2",Бостандыкский,2021,8,55,/a/show/691956174
36000000,"
                    2",Турксибский,"63.4 м², Площадь кухни — 14 м²",свежий,раздельный,/a/show/688465614
53000000,"
                    3",Турксибский,2022,7,115,/a/show/697664974
30500000,"
                    1",Алмалинский,2024,7,32,/a/show/695454893
31500000,"
                    2",Алмалинский,2024,11,50,/a/show/694799084
24500000,"
                    2",Алатауский,2024,7,69.1,/a/show/694665669
22000000,"
                    1",Алатауский,2014,4,39,/a/show/694042551
21500000,"
                    1",Алатауский,2023,12,37,/a/show/693469328
125000000,"
                    6",Бостандыкский,2023,1,261.69,/a/show/688795062
от26000000,"
                    2",Алматинская,2023,65.5,совмещенный,/a/show/682004958
от233895000,"
                    4",Медеуский,2026,150.9,2,/a/show/697299947
от66144000,"
                    3",Бостандыкский,2025,84.8,2,/a/show/674283778
от191075200,"
                    4",Бостандыкский,44,2024,134.56,/a/show/694787132
72999999,"
                    3",Бостандыкский,2017,19,94,/a/show/693560856
70000000,"
                    3",Бостандыкский,2004,6,96.7,/a/show/686162983
58000000,"
                    3",Бостандыкский,1986,9,70,/a/show/689881471
24990000,"
                    1",Ауэзовский,1986,9,42,/a/show/697955814
55000000,"
                    2",Алмалинский,2021,11,60,/a/show/693958137
78780000,"
                    4",Наурызбайский,2013,8,128,/a/show/677889007
66800000,"
                    2",Бостандыкский,2009,11,93,/a/show/693457729
52000000,"
                    3",Бостандыкский,1977,5,70,/a/show/697701874
39990000,"
                    2",Бостандыкский,1974,2,45,/a/show/699096435
72999999,"
                    3",Бостандыкский,2017,12,92,/a/show/696196985
80000000,"
                    3",Ауэзовский,2023,7,90.8,/a/show/694364675
27500000,"
                    1",Алатауский,2019,6,45,/a/show/699152900
55000000,"
                    3",Бостандыкский,1988,1,80,/a/show/683101353
63000000,"
                    2",Бостандыкский,2015,10,70,/a/show/691139293
52000000,"
                    3",Алатауский,2020,7,88,/a/show/698813780
31500000,"
                    2",Наурызбайский,2022,4,57,/a/show/696601921
49000000,"
                    2",Ауэзовский,2019,10,74,/a/show/694924460
58000000,"
                    2",Алмалинский,2023,9,64,/a/show/697492096
58000000,"
                    3",Медеуский,1979,5,73,/a/show/697552645
от18616000,"
                    2",Алматинская,2025,46.54,совмещенный,/a/show/693821631
26500000,"
                    2",Наурызбайский,2020,10,53,/a/show/698831318
56000000,"
                    3",Наурызбайский,2023,6,86.7,/a/show/697786795
37000000,"
                    1",Бостандыкский,2022,5,40,/a/show/697641541
от23488000,"
                    3",Алатауский,2023,73.4,2,/a/show/686956052
от57998850,"
                    3",Бостандыкский,2025,78.91,2,/a/show/698973072
от179648400,"
                    4",Бостандыкский,44,2024,130.18,/a/show/694787131
от68305000,"
                    2",Бостандыкский,2024,71.9,совмещенный,/a/show/687751125
175000000,"
                    3",Бостандыкский,2006,4,154,/a/show/691624265
41000000,"
                    3",Ауэзовский,1965,1,60,/a/show/697220567
33000000,"
                    2",Наурызбайский,2012,1,77,/a/show/697054725
20000000,"
                    2",Жетысуский,1980,3,50,/a/show/696177743
31000000,"
                    2",Наурызбайский,2023,8,75,/a/show/694439248
43500000,"
                    3",Алмалинский,2012,8,64,/a/show/693412506
35500000,"
                    2",Ауэзовский,2022,3,48,/a/show/693344568
35000000,"
                    3",Бостандыкский,1973,1,56.2,/a/show/692357023
от24864000,"
                    1",Алатауский,2025,44.16,совмещенный,/a/show/682385935
от37440000,"
                    2",Алмалинский,2025,57.6,совмещенный,/a/show/689365687
от39446000,"
                    3",Жетысуский,2025,65.2,2,/a/show/684283319
от37088475,"
                    2",Бостандыкский,2025,45.93,2,/a/show/683987584
41000000,"
                    3",Ауэзовский,2024,3,83,/a/show/698777967
170000000,"
                    4",Алмалинский,2001,6,160,/a/show/698699223
23500000,"
                    1",Наурызбайский,2023,2,41.5,/a/show/697749847
30000000,"
                    2",Ауэзовский,1974,1,45,/a/show/694027520
140000000,"
                    3",Бостандыкский,2021,9,114.9,/a/show/685109638
24000000,"
                    1",Наурызбайский,2020,6,45.9,/a/show/668416808
от13857000,"
                    1",Алатауский,2027,44.7,совмещенный,/a/show/681823352
от281400000,"
                    5",Медеуский,2023,171.15,2,/a/show/671314152
39000000,"
                    1",Бостандыкский,2011,2,52.5,/a/show/696450873
19000000,"
                    1",Турксибский,2023,3,43,/a/show/691599190
45000000,"
                    3",Ауэзовский,1976,1,69,/a/show/697796390
44000000,"
                    3",Ауэзовский,2022,6,64,/a/show/695204421
35500000,"
                    2",Ауэзовский,2016,17,51,/a/show/698347766
48000000,"
                    2",Алмалинский,2021,9,49,/a/show/679349497
80000000,"
                    3",Бостандыкский,2006,1,94,/a/show/692311842
39400000,"
                    2",Ауэзовский,2019,3,55.7,/a/show/688069795
46000000,"
                    3",Бостандыкский,1972,1,61,/a/show/697891170
65000000,"
                    3",Бостандыкский,2022,16,70.9,/a/show/698583419
26999000,"
                    2",Наурызбайский,2017,1,45,/a/show/691183062
95000000,"
                    3",Бостандыкский,1987,3,106.2,/a/show/697215065
43000000,"
                    2",Алмалинский,1974,3,52.6,/a/show/696762726
55000000,"
                    2",Бостандыкский,2006,2,64,/a/show/698867234
43000000,"
                    2",Алмалинский,1977,4,50,/a/show/688457418
50000000,"
                    2",Ауэзовский,2014,5,77.5,/a/show/696319865
47000000,"
                    2",Бостандыкский,2019,8,60,/a/show/697791965
32500000,"
                    3",Ауэзовский,1968,4,60,/a/show/698155360
40000000,"
                    3",Алмалинский,1989,9,73.3,/a/show/693422149
110000000,"
                    4",Бостандыкский,2019,8,112,/a/show/692134902
19500000,"
                    1",Турксибский,2024,2,46,/a/show/694652638
36500000,"
                    3",Алмалинский,1980,4,59,/a/show/689953694
110000000,"
                    3",Алмалинский,2019,12,115.5,/a/show/697376398
41500000,"
                    3",Бостандыкский,1977,5,62.5,/a/show/696283906
53000000,"
                    3",Наурызбайский,2013,6,68,/a/show/694636637
35000000,"
                    2",Алатауский,2021,12,58.2,/a/show/689333909
23000000,"
                    1",Жетысуский,2022,11,38,/a/show/688666301
от9405000,"
                    1",Алатауский,2027,28.5,2,/a/show/675066823
от26000000,"
                    2",Алматинская,2023,63.6,совмещенный,/a/show/682004956
от95200000,"
                    2",Медеуский,2023,67.8,2,/a/show/667124457
от50021400,"
                    2",Бостандыкский,2025,62.92,совмещенный,/a/show/698973071
от17200000,"
                    1",Алматинская,2024,43,совмещенный,/a/show/696340595
47500000,"
                    2",Алматы,2023,4,68,/a/show/697329899
12500000,"
                    1",Ауэзовский,1984,5,17,/a/show/696326510
43000000,"
                    2",Бостандыкский,2023,11,60,/a/show/695285067
34000000,"
                    2",Турксибский,1978,3,52,/a/show/678971900
от163923000,"
                    4",Медеуский,2025,162.3,2,/a/show/689022908
от28311010,"
                    2",Алатауский,2026,48.23,совмещенный,/a/show/682385937
от13795000,"
                    1",Алатауский,2027,44.5,совмещенный,/a/show/686956042
от230865100,"
                    3",Наурызбайский,2025,166.09,2,/a/show/697335406
от94999956,"
                    7",Алматинская,2024,212,2,/a/show/694493589
от9100000,"
                    1",Алматинская,2025,26,совмещенный,/a/show/684816526
от61600000,"
                    3",Наурызбайский,2020,88,раздельный,/a/show/691234300
30000000,"
                    1",Жетысуский,2024,5,39.6,/a/show/697549317
33150000,"
                    3",Алатауский,2023,4,90,/a/show/693790099
57000000,"
                    2",Бостандыкский,2022,15,60,/a/show/689518379
84999990,"
                    3",Бостандыкский,2022,11,104,/a/show/682422796
от45683200,"
                    4",Алатауский,2025,106.24,2,/a/show/693826798
от14706000,"
                    1",Алматинская,2025,34.04,совмещенный,/a/show/693821616
от25000000,"
                    2",Алатауский,2024,69.65,совмещенный,/a/show/696192114
46000000,"
                    3",Алатауский,2013,6,88.1,/a/show/698513504
82000000,"
                    3",Бостандыкский,2009,5,105,/a/show/697506825
34500000,"
                    2",Наурызбайский,2021,9,66.1,/a/show/694639492
26500000,"
                    1",Жетысуский,2006,3,48,/a/show/690656681
33600000,"
                    3",Турксибский,2021,9,62,/a/show/688401592
105000000,"
                    5",Бостандыкский,2021,9,130,/a/show/688140081
58500000,"
                    3",Бостандыкский,2024,1,91.3,/a/show/679729514
41000000,"
                    3",Ауэзовский,1986,1,65,/a/show/692549169
44500000,"
                    3",Алатауский,2015,9,85,/a/show/687474061
35000000,"
                    3",Ауэзовский,1963,1,59,/a/show/692936009
35000000,"
                    2",Ауэзовский,1969,4,45,/a/show/691943420
36000000,"
                    3",Ауэзовский,1963,3,57.8,/a/show/696671388
29000000,"
                    2",Турксибский,1983,1,52,/a/show/680454724
36900000,"
                    3",Бостандыкский,1975,5,55.3,/a/show/697438300
28000000,"
                    1",Алмалинский,2012,1,39,/a/show/698227222
45000000,"
                    3",Бостандыкский,1981,3,66,/a/show/695340904
37000000,"
                    3",Ауэзовский,1971,2,65.5,/a/show/697498566
106000000,"
                    3",Бостандыкский,2011,11,107.7,/a/show/695483329
83000000,"
                    4",Бостандыкский,2022,5,100.2,/a/show/695418219
44000000,"
                    2",Ауэзовский,2024,2,72.2,/a/show/694169623
33000000,"
                    2",Алатауский,2023,2,50,/a/show/693759414
47000000,"
                    2",Бостандыкский,2009,16,74,/a/show/693478260
38000000,"
                    3",Ауэзовский,1968,1,62,/a/show/691003984
32000000,"
                    2",Алатауский,2010,2,62.1,/a/show/686911237
42500000,"
                    3",Алатауский,2019,3,75,/a/show/692669228
от110078650,"
                    2",Наурызбайский,2025,83.71,2,/a/show/697335395
от12889000,"
                    1",Алматинская,2025,30.6,совмещенный,/a/show/693821622
17980000,"
                    1",Жетысуский,1985,5,40,/a/show/696865028
35000000,"
                    2",Алатауский,2019,8,57,/a/show/696329786
25900000,"
                    1",Ауэзовский,2024,3,46,/a/show/692697461
от34861500,"
                    2",Жетысуский,2025,54.9,совмещенный,/a/show/684283317
от92542750,"
                    4",Алмалинский,2022,119.41,2.7,/a/show/687659986
42700000,"
                    2",Алмалинский,2023,8,61,/a/show/696491313
43000000,"
                    3",Бостандыкский,1961,3,58.1,/a/show/691422738
от238102000,"
                    4",Медеуский,2026,140.06,2,/a/show/697299945
от45852950,"
                    2",Бостандыкский,2025,64.13,совмещенный,/a/show/697710427
от102964400,"
                    4",Алмалинский,2022,133.72,2.7,/a/show/687659799
23100000,"
                    1",Турксибский,1977,1,38,/a/show/697826135
27500000,"
                    2",Наурызбайский,2022,4,48,/a/show/691909378
от31000000,"
                    3",Алматинская,2023,85,совмещенный,/a/show/682004955
от109529600,"
                    3",Алматы,2024,85.57,2,/a/show/688394394
от40691600,"
                    1",Алмалинский,2024,44.23,совмещенный,/a/show/683974487
от67800000,"
                    2",Бостандыкский,2024,67.8,совмещенный,/a/show/687751118
92000000,"
                    4",Алмалинский,2012,17,144,/a/show/697831253
31500000,"
                    3",Турксибский,2024,4,79.65,/a/show/692876642
32000000,"
                    2",Алатауский,2022,1,54.6,/a/show/688566327
32000000,"
                    3",Наурызбайский,2022,1,77,/a/show/688505678
56000000,"
                    2",Алмалинский,2022,4,48,/a/show/688107252
38500000,"
                    2",Наурызбайский,2020,6,63.6,/a/show/684565802
22500000,"
                    2",Турксибский,2009,6,52.8,/a/show/676077469
от48110703,"
                    2",Алмалинский,2025,59.8,совмещенный,/a/show/689365688
60000000,"
                    3",Алмалинский,1976,2,87,/a/show/689541411
31000000,"
                    1",Алмалинский,1985,9,40.1,/a/show/694705718
44500000,"
                    1",Ауэзовский,2017,3,61.9,/a/show/694432096
31000000,"
                    1",Алмалинский,1985,9,40.1,/a/show/694705718
44500000,"
                    1",Ауэзовский,2017,3,61.9,/a/show/694432096
33000000,"
                    3",Бостандыкский,1961,4,61,/a/show/693007972
23500000,"
                    3",Алатауский,"49.3 м², Площадь кухни — 17.1 м²",свежий,совмещенный,/a/show/685457177
23950000,"
                    2",Наурызбайский,2024,7,60.28,/a/show/695779779
32000000,"
                    2",Турксибский,2013,2,54.5,/a/show/695737419
21000000,"
                    2",Турксибский,1958,1,47,/a/show/695429042
24000000,"
                    1",Турксибский,2017,3,45,/a/show/693998583
59000000,"
                    2",Алмалинский,2021,15,71,/a/show/691714402
от173568000,"
                    3",Медеуский,2025,135.6,2,/a/show/689022912
от27108900,"
                    1",Турксибский,2025,43.03,совмещенный,/a/show/694704251
от14640000,"
                    1",Алатауский,2027,48.8,совмещенный,/a/show/675066323
40500000,"
                    2",Алмалинский,2024,8,44,/a/show/697083205
36000000,"
                    3",Наурызбайский,2021,7,70,/a/show/697009323
